url,short_url,sub_domain,favicon,ip,href_count,state_code,url_length,ssl,page_redirect,meta_data,url_rank
http://vtsims.home.comcast.net/~vtsims/,0,1,0,1174163531,0,1,39,1,0,0,8556
http://sigfl.tripod.com/sigbin/,0,1,0,3519740994,16,0,31,1,0,1,10000000
http://www.hyperactivesw.com/Resources.html,0,1,0,1162458759,35,0,43,1,0,1,10000000
"http://www.google.nl/url?sa=t&amp;rct=j&amp;q=&amp;esrc=s&amp;source=web&amp;cd=1&amp;ved=0CDEQFjAA&amp;url=http\%3A\%2F\%2Fwww.lobbyaudit.ge\%2F&amp;ei=V_fVUOOBM9DHswbkwIHQCg&amp;usg=AFQjCNGOmygUx6oDhGgxMQh4T-xYlERcNg&amp;bvm=bv.1355534169,d.Yms",1,1,0,3627730275,1,0,254,1,0,1,942
http://awesomebytes.com/6k/Chase_Online.htm,0,1,0,3111898194,0,1,43,1,0,1,10000000
http://crysbro.com/~purebusi/paypal/,0,1,0,1317026891,0,1,36,1,0,0,7699792
http://www.rerte.com.cn/js/index.htm?us.battle.net/login/en/?ref=us.battle.net/d3/en/index,0,1,0,986912745,0,1,90,1,0,1,10000000
http://www.zvon.org/xxl/WSDL1.1/Output/index.html,0,1,0,1599411895,0,0,49,1,0,1,418902
http://www.macdevcenter.com/pub/a/mac/2004/05/11/xgrid_pt1.html,1,1,0,399838474,56,0,30,0,0,1,2841
http://asp.usatoday.com/marketing/rss/index.aspx,1,1,-1,598131972,313,1,36,0,0,1,462
http://www.xray.mpe.mpg.de/mailing-lists/perl5-porters/1998-10/msg01851.html,0,1,0,2193049785,0,1,76,1,0,0,29666
http://www.angelfire.com/tv/Mor2gan/index.html,0,1,0,3519740969,4,0,46,1,0,0,17554
http://www.zgmmzzw.com/img?app=com-d3&us.battle.net/login/en/?ref=us.battle.net/d3/en/index,0,1,0,2596557808,0,1,91,1,0,1,10000000
http://tools.ietf.org/html/rfc2434,1,1,1,1084908074,106,0,35,0,0,1,12119
http://www.cattletoday.com/se_gelbvieh/,1,1,0,1746647829,43,1,40,0,0,1,783053
http://sourceforge.net/projects/psiapple/,1,1,0,3630769677,236,0,42,0,0,1,467
http://tools.ietf.org/html/rfc3165,1,1,1,1084908074,366,0,35,0,0,1,12119
http://maxkz.com/833988890b24b473b59ced4fc20991eb/login.html,0,1,0,3342594713,0,0,60,1,0,1,10000000
http://addons.mozilla.org/firefox/addon/15005/,1,1,-1,584367634,40,1,53,0,0,1,223
http://www.dyerassoc.com/pepper/,0,1,0,2917967512,4,0,32,1,0,1,10000000
http://farmakoekonomi.com/css/,1,1,1,3098051569,8,0,45,0,0,1,1
http://www.beidou7.com/hr/index.htm?us.battle.net/login/en/?ref=xtvxcueus.battle.net/d3/en/index&app=com-d3,1,1,0,987260314,0,1,108,0,0,1,10000000
